file,Playing bitrate _audio,Playing bitrate _video,Playing/Buffering vmaf,Buffering bitrate _audio,Buffering bitrate _video,Buffer size in Bytes _audio,Buffer size in Bytes _video,Buffer size in Bytes,Buffer size in Seconds _audio,Buffer size in Seconds _video,Framerate,Current Dropped Frames,Total Frames,Total Dropped Frames,Total Corrupted Frames,Total Frame Delay,Throughput
./Netflix_Screen_Capture\2021-03-21_15-35-12.792.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 541033516, 547302100,253.127 , 239.071, 23.976, 0, 19540, 1, 0, 721, 14406 kbps
./Netflix_Screen_Capture\2021-03-21_15-35-22.792.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 518665240, 524933824,242.914 , 237.992, 23.976, 0, 19786, 1, 0, 721, 14299 kbps
./Netflix_Screen_Capture\2021-03-21_15-35-32.788.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 502541597, 508810181,249.800 , 238.314, 23.976, 0, 20008, 1, 0, 721,
./Netflix_Screen_Capture\2021-03-21_15-35-42.791.jpeg,3840,2160, 100/100,192 , 17857,5877188 , 482891628, 488768816,239.599 , 239.249, 23.976, 0, 20248, 1, 0, 721, 14032 kbps
./Netflix_Screen_Capture\2021-03-21_15-35-52.800.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 465332706, 471601290,245.416 , 232.653, 23.976, 0, 20493, 1, 0, 721, 16242 kbps
./Netflix_Screen_Capture\2021-03-21_15-36-02.800.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 460629226, 466897810,251.479 , 235.238, 23.976, 0, 20739, 1, 0, 721, 14433 kbps
./Netflix_Screen_Capture\2021-03-21_15-36-12.808.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 422381979, 428650563,241.276 , 229.539, 23.976, 0, 20981, 1, 0, 727,
./Netflix_Screen_Capture\2021-03-21_15-36-22.793.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 410743074, 417011658,247.075 , 231.225, 23.976, 0, 21224, 1, 0, 727, 15977 kbps
./Netflix_Screen_Capture\2021-03-21_15-36-32.793.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 419307784, 425576368,253.920 , 233.341, 23.976, 0, 21445, 1, 0, 753, 20431 kbps
./Netflix_Screen_Capture\2021-03-21_15-36-42.788.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 426788558, 433057142,243.703 , 235.595, 23.976, 0, 21693, 1, 0, 753, 22287 kbps
./Netflix_Screen_Capture\2021-03-21_15-36-52.800.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 424338529, 430607113,249.250 , 234.235, 23.976, 0, 21937, 1, 0, 753, 21871 kbps
./Netflix_Screen_Capture\2021-03-21_15-37-02.788.jpeg,3840,2160, 100/100,192 , 17857,5876407 , 429240309, 435116716,239.043 , 236.665, 23.976, 0, 22184, 1, 0, 753, 19706 kbps
./Netflix_Screen_Capture\2021-03-21_15-37-12.795.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 425920419, 432189003,245.126 , 238.061, 23.976, 0, 22428, 1, 0, 753,
./Netflix_Screen_Capture\2021-03-21_15-37-22.773.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 422428536, 428697120,251.980 , 236.589, 23.976, 0, 22646, 1, 0, 753,
./Netflix_Screen_Capture\2021-03-21_15-37-32.793.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 425969822, 432238406,241.759 , 234.877, 23.976, 0, 22883, 1, 0, 753,
./Netflix_Screen_Capture\2021-03-21_15-37-42.791.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 431090212, 437358796,247.600 , 239.826, 23.976, 0, 23133, 1, 0, 761,
./Netflix_Screen_Capture\2021-03-21_15-37-52.780.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 409173996, 415442580,253.416 , 236.857, 23.976, 0, 23379, 1, 0, 761,
./Netflix_Screen_Capture\2021-03-21_15-38-02.783.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 401232284, 407500868,243.211 , 236.871, 23.976, 0, 23622, 1, 0, 761, 17821 kbps
./Netflix_Screen_Capture\2021-03-21_15-38-12.785.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 418935127, 425203711,249.036 , 237.466, 23.976, 0, 23866, 1, 0, 761, 16504 kbps
./Netflix_Screen_Capture\2021-03-21_15-38-22.799.jpeg,3840,2160, 100/100,192 , 17857,5877188 , 400636998, 406514186,239.887 , 238.035, 23.976, 0, 24082, 1, 0, 761,
./Netflix_Screen_Capture\2021-03-21_15-38-32.780.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 411839543, 418108127,245.661 , 236.193, 23.976, 0, 24330, 1, 0, 761, 21210 kbps
./Netflix_Screen_Capture\2021-03-21_15-38-42.805.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 412174512, 418443096,251.492 , 236.002, 23.976, 0, 24575, 1, 0, 761, 21441 kbps
